TestDate;TestTime;BatchSerialNumber;BatchCustomer;BatchModuleType;BatchProtocolFile;ASCIIFileVersion;
26-09-2018;10:06:29;-;-;-;-;1.04;

CellParamArea [mm²];Tcell [°C];CellParamTkI [%/°C];CellParamTkU [%/°C];Tmonicell [°C];MonicellParamTkI [%/°C];CorrectedToInsol [W/m²];MonicellMvToInsol [W/m²/mV];MonicellSpectralMismatch;CorrectionTyp;IEC60891_RsType;IEC60891_TkI [mA/cm²/K];IEC60891_TkU [mV/K];IEC60891_Kfact [Ohm*cm²/K];IEC60891_FixValRs [Ohm];MeasureTimeLf [ms];ElectronicLoadType;MeasurementType;MonitorcellGainFactor;SectionMeasurementCountLf;IEC60891A_TkI [A/K];IEC60891A_TkU [V/K];IEC60891A_Kfact [Ohm/K];IEC60891A_FixValRs [Ohm];
1940352;24.59;0.07000;-0.30000;23.75;0.04700;1000.00000;19.91474;1.00000;IEC60891A;0;0.000300;-120.00000;0.873000;0.300000;40;EL2;LF;1.00000;1;0.005700;-0.120000;0.00005200;0.300000;

Isc [A];Uoc [V];Impp [A];Umpp [V];Pmpp [W];Eta [%];FF [%];Rser [Ohm];Rshunt [Ohm];Insol [W/m²];
0.08382905;37.21907054;0.05920877;30.61417971;1.81262797;0.09;58.10;-;4510.3;1000.182;

DispUFrom [V];DispUTo [V];DispUScalLines;DispUScalSkip;DispUDecimals;DispIFrom [A];DispITo [A];DispIScalLines;DispIScalSkip;DispIDecimals;MeasTime_raw [ms];MeasTime_cor [ms];
-5.000000;60.000000;13;1.000;1;-1.000000;11.000000;12;1.000;1;40.000;40.000;

Nr;Uraw [[V]];Iraw [[A]];Eraw [[mV]];Uflt [[V]];Iflt [[A]];Eflt [[mV]];Ucor [[V]];Icor [[A]];Ecor [[W/m2]];
37;6.318192495;0.070058428;5019.641286513;6.318769362;0.070284509;5019.531508657;6.268872150;0.072603390;1000.211979306;
38;6.584192640;0.070390900;5019.641286513;6.583551676;0.070218015;5019.128989849;6.533652409;0.072543750;1000.131771794;
39;6.846987965;0.070058428;5019.031409532;6.848333990;0.070124923;5018.543507947;6.798431732;0.072460631;1000.015106322;
40;7.114590521;0.070058428;5018.116594059;7.113180400;0.070018532;5017.750667870;7.063274092;0.072367749;999.857121828;
41;7.377385845;0.070058428;5017.201778587;7.377898617;0.069925440;5016.726074541;7.327987071;0.072292120;999.652957253;
42;7.643385991;0.069725957;5016.286963115;7.642616834;0.069819049;5015.567308276;7.592699363;0.072205488;999.422056839;
43;7.907783726;0.069725957;5014.457332170;7.907206858;0.069712658;5014.310961694;7.857282959;0.072120530;999.171712181;
44;8.170579051;0.069393485;5012.322762734;8.171668690;0.069619566;5012.993627414;8.121738047;0.072049923;998.909214869;
45;8.436579196;0.069725957;5010.493131789;8.436066425;0.069539773;5011.773873451;8.386129534;0.071990960;998.666161802;
46;8.700976932;0.069393485;5011.103008771;8.700464160;0.069446680;5010.785872741;8.650522207;0.071914748;998.469288818;
47;8.965374667;0.069393485;5010.493131789;8.964797799;0.069353588;5009.968637585;8.914851657;0.071835623;998.306443264;
48;9.228169991;0.069393485;5007.748685372;9.229131438;0.069260496;5009.358760604;9.179182169;0.071752957;998.184916731;
49;9.492567726;0.069061013;5008.053623863;9.493593269;0.069167404;5009.163599970;9.443643002;0.071663202;998.146028240;
50;9.758567872;0.069061013;5008.663500845;9.758119197;0.069087611;5009.370958143;9.708169995;0.071579864;998.187347261;
51;10.022965607;0.068728542;5009.273377826;10.022709221;0.069047714;5009.993032664;9.972763211;0.071529332;998.311304325;
52;10.287363342;0.069061013;5009.883254808;10.287299246;0.069047714;5011.115206311;10.237358989;0.071510154;998.534913146;
53;10.551761077;0.069061013;5011.407947262;10.551825174;0.069061013;5012.871652018;10.501893917;0.071493453;998.884909562;
54;10.816158812;0.069061013;5013.847455188;10.816287005;0.069087611;5015.213579627;10.766367739;0.071480084;999.351571450;
55;11.082158958;0.069393485;5017.201778587;11.080748837;0.069100910;5018.116594059;11.030844419;0.071443892;999.930037748;
56;11.344954283;0.069061013;5019.946225004;11.345146572;0.069074312;5021.397732220;11.295258916;0.071361426;1000.583850497;
57;11.607749607;0.069061013;5025.130179348;11.609608403;0.069007818;5024.922821174;11.559738733;0.071234990;1001.286273860;
58;11.873749753;0.069061013;5029.704256710;11.874326621;0.068928025;5028.374724890;11.824474538;0.071096582;1001.974114038;
59;12.139749898;0.068728542;5033.668457090;12.139173031;0.068821634;5031.460702417;12.089336651;0.070937858;1002.589038296;
60;12.404147634;0.068728542;5035.193149544;12.404083537;0.068701944;5033.973395581;12.354259930;0.070775604;1003.089727613;
61;12.668545369;0.068396070;5036.717841998;12.669186333;0.068582254;5035.876211764;12.619372390;0.070623710;1003.468890397;
62;12.934545514;0.068728542;5038.547472943;12.934289129;0.068475863;5037.132558346;12.884481564;0.070496069;1003.719235056;
63;13.198943249;0.068396070;5038.852411434;13.199263731;0.068356173;5037.730237788;13.149459201;0.070366274;1003.838331058;
64;13.464943395;0.068063598;5039.157349925;13.464110142;0.068249782;5037.791225486;13.414305923;0.070258852;1003.850483712;
65;13.730943541;0.068063598;5037.937595961;13.728828359;0.068156690;5037.376509138;13.679022038;0.070172771;1003.767845669;
66;13.992136455;0.068063598;5037.327718980;13.993226094;0.068076897;5036.559273983;13.943415629;0.070106798;1003.605000115;
67;14.258136600;0.068063598;5035.498088035;14.257559733;0.067997104;5035.424902797;14.207743512;0.070046196;1003.378960763;
68;14.520931925;0.068063598;5034.583272563;14.521829275;0.067930610;5034.156358675;14.472006614;0.070001172;1003.126185573;
69;14.786932071;0.067731127;5032.753641618;14.786162913;0.067850817;5032.790234237;14.736333313;0.069944514;1002.853966139;
