TestDate;TestTime;BatchSerialNumber;BatchCustomer;BatchModuleType;BatchProtocolFile;ASCIIFileVersion;
26-09-2018;10:06:29;-;-;-;-;1.04;

CellParamArea [mm²];Tcell [°C];CellParamTkI [%/°C];CellParamTkU [%/°C];Tmonicell [°C];MonicellParamTkI [%/°C];CorrectedToInsol [W/m²];MonicellMvToInsol [W/m²/mV];MonicellSpectralMismatch;CorrectionTyp;IEC60891_RsType;IEC60891_TkI [mA/cm²/K];IEC60891_TkU [mV/K];IEC60891_Kfact [Ohm*cm²/K];IEC60891_FixValRs [Ohm];MeasureTimeLf [ms];ElectronicLoadType;MeasurementType;MonitorcellGainFactor;SectionMeasurementCountLf;IEC60891A_TkI [A/K];IEC60891A_TkU [V/K];IEC60891A_Kfact [Ohm/K];IEC60891A_FixValRs [Ohm];
1940352;24.59;0.07000;-0.30000;23.75;0.04700;1000.00000;19.91474;1.00000;IEC60891A;0;0.000300;-120.00000;0.873000;0.300000;40;EL2;LF;1.00000;1;0.005700;-0.120000;0.00005200;0.300000;

Isc [A];Uoc [V];Impp [A];Umpp [V];Pmpp [W];Eta [%];FF [%];Rser [Ohm];Rshunt [Ohm];Insol [W/m²];
0.08382905;37.21907054;0.05920877;30.61417971;1.81262797;0.09;58.10;-;4510.3;1000.182;

DispUFrom [V];DispUTo [V];DispUScalLines;DispUScalSkip;DispUDecimals;DispIFrom [A];DispITo [A];DispIScalLines;DispIScalSkip;DispIDecimals;MeasTime_raw [ms];MeasTime_cor [ms];
-5.000000;60.000000;13;1.000;1;-1.000000;11.000000;12;1.000;1;40.000;40.000;

Nr;Uraw [[V]];Iraw [[A]];Eraw [[mV]];Uflt [[V]];Iflt [[A]];Eflt [[mV]];Ucor [[V]];Icor [[A]];Ecor [[W/m2]];
158;37.267149197;0.000571852;5035.498088035;37.261252326;0.000465461;5033.741642328;37.211428996;0.002543045;1003.043547531;
159;37.267149197;0.000239380;5036.412903507;37.265931365;0.000332472;5034.083173438;37.216109773;0.002404274;1003.111602389;
160;37.267149197;-0.000093091;5035.193149544;37.266572329;0.000265978;5033.875815264;37.216749685;0.002341291;1003.070283368;
161;37.265546786;0.000571852;5033.058580109;37.266508232;0.000239380;5033.253740743;37.216682429;0.002325227;1002.946326304;
162;37.267149197;-0.000093091;5031.838826145;37.266315943;0.000199484;5032.375517889;37.216485677;0.002300206;1002.771328096;
163;37.265546786;0.000239380;5031.533887655;37.265995461;0.000186185;5031.350924560;37.216159987;0.002304270;1002.567163520;
164;37.267149197;0.000239380;5030.009195201;37.265674979;0.000186185;5030.228750914;37.215833797;0.002323293;1002.343554699;
165;37.263944376;0.000239380;5029.399318219;37.265226304;0.000199484;5029.191960045;37.215379846;0.002354176;1002.136959593;
166;37.265546786;0.000239380;5029.094379728;37.264969918;0.000212783;5028.277144573;37.215118804;0.002382996;1001.954669793;
167;37.263944376;-0.000093091;5026.349933311;37.264521243;0.000226081;5027.313538942;37.214665221;0.002412650;1001.762657870;
168;37.263944376;0.000239380;5025.130179348;37.264136665;0.000252679;5026.435316088;37.214276169;0.002454159;1001.587659662;
169;37.263944376;0.000571852;5025.740056329;37.263687990;0.000279277;5025.752253869;37.213824013;0.002492358;1001.451549945;
170;37.265546786;0.000571852;5026.654871802;37.263367508;0.000265978;5025.215562125;37.213500795;0.002488177;1001.344606596;
171;37.260739555;-0.000093091;5023.910425385;37.262982929;0.000226081;5024.849635936;37.213114352;0.002454498;1001.271690676;
172;37.262341965;0.000239380;5022.995609912;37.263047026;0.000212783;5024.910623634;37.213178760;0.002440162;1001.283843329;
173;37.260739555;0.000239380;5023.605486894;37.263431604;0.000186185;5025.398525220;37.213565826;0.002405275;1001.381064556;
174;37.263944376;-0.000093091;5025.130179348;37.264264858;0.000159587;5026.349933311;37.214403928;0.002362517;1001.570645948;
175;37.265546786;0.000239380;5028.179564256;37.265226304;0.000172886;5027.691662671;37.215372209;0.002353036;1001.838004321;
176;37.267149197;0.000239380;5029.399318219;37.266315943;0.000199484;5029.252947743;37.216469796;0.002353141;1002.149112246;
177;37.268751607;0.000239380;5030.314133691;37.267213293;0.000212783;5030.863022975;37.217375337;0.002339138;1002.469942294;
178;37.268751607;0.000239380;5033.668457090;37.267854257;0.000226081;5032.424308048;37.218024239;0.002325978;1002.781050219;
179;37.267149197;0.000239380;5034.278334072;37.268174739;0.000239380;5033.668457090;37.218351043;0.002318204;1003.028964347;
180;37.268751607;0.000239380;5035.193149544;37.268431125;0.000239380;5034.583272563;37.218612075;0.002302716;1003.211254147;
181;37.268751607;0.000239380;5036.107965017;37.268559318;0.000226081;5035.217544623;37.218743489;0.002278682;1003.337641741;
182;37.268751607;0.000239380;5036.412903507;37.268559318;0.000199484;5035.510285575;37.218744976;0.002247131;1003.395974477;
183;37.268751607;0.000239380;5035.803026526;37.268431125;0.000172886;5035.424902797;37.218616350;0.002221978;1003.378960763;
184;37.268751607;0.000239380;5035.193149544;37.268238836;0.000132989;5035.180952005;37.218422823;0.002186209;1003.330350149;
185;37.268751607;-0.000093091;5035.193149544;37.267918354;0.000106392;5034.863815974;37.218100731;0.002164979;1003.267156352;
186;37.267149197;-0.000093091;5034.278334072;37.267661968;0.000093093;5034.522284864;37.217842612;0.002157461;1003.199101493;
187;37.265546786;0.000239380;5033.058580109;37.267533775;0.000106392;5034.290531611;37.217713242;0.002174683;1003.152921411;
188;37.267149197;-0.000093091;5033.973395581;37.267726064;0.000106392;5034.363716849;37.217905902;0.002173444;1003.167504595;
189;37.267149197;0.000571852;5034.278334072;37.267982450;0.000119691;5034.632062721;37.218163651;0.002182200;1003.220976269;
190;37.270354018;-0.000093091;5034.583272563;37.268367029;0.000106392;5035.034581529;37.218550273;0.002162089;1003.301183781;
191;37.268751607;0.000239380;5035.193149544;37.268623414;0.000093093;5035.571273273;37.218809384;0.002139708;1003.408127131;
192;37.270354018;-0.000093091;5037.327718980;37.268879800;0.000066495;5036.132360096;37.219068619;0.002103617;1003.519931541;
193;37.267149197;-0.000093091;5037.022780489;37.268879800;0.000053196;5036.449496126;37.219070228;0.002084954;1003.583125339;
194;37.268751607;0.000239380;5036.717841998;37.268879800;0.000053196;5036.510483824;37.219070538;0.002083922;1003.595277992;
195;37.268751607;-0.000093091;5037.327718980;37.268687511;0.000066495;5036.327520730;37.218877320;0.002100316;1003.558820032;
196;37.270354018;0.000239380;5036.717841998;37.268472927;0.000094827;5035.922350283;37.218660679;0.002135503;1003.478084144;
197;37.268751607;-0.000093091;5035.498088035;37.268245583;0.000099392;5035.273396515;37.218430040;0.002151048;1003.348771013;
198;37.267149197;0.000239380;5033.668457090;37.267149197;0.000137081;5034.043766002;37.217327409;0.002209550;1003.103749906;
199;37.265546786;0.000239380;5033.058580109;37.265546786;0.000239380;5033.058580109;37.215719991;0.002328532;1002.907437814;

